adr_term,adr_synonyms,meddra_code,adr_term_lower
Blood and lymphatic system disorders,Not Available,10005329,blood and lymphatic system disorders
Coagulopathies and bleeding diatheses (excl thrombocytopenic),Not Available,10064477,coagulopathies and bleeding diatheses (excl thrombocytopenic)
Coagulation factor deficiencies,Not Available,10009737,coagulation factor deficiencies
Hypoprothrombinaemia,"Exaggerated hypoprothrombinaemia | Hypoprothrombinaemia | Hypoprothrombinemia | Exaggerated hypoprothrombinemia | Prothrombinopenia | Prothrombinopaenia | Hypoprothrombinemias | Prothrombin Deficiency | Deficiencies, Prothrombin | Deficiency, Prothrombin | Prothrombin Deficiencies | Deficiency, Factor II | Deficiencies, Factor II | Factor II Deficiencies | Factor II Deficiency",10021085,hypoprothrombinaemia
Acquired haemophilia,"Acquired haemophilia | Acquired hemophilia | Acquired hemophilia with anti FVIII, XI, or XIII | Acquired haemophilia with anti FVIII, XI, or XIII | Acquired haemophilia B with anti factor IX | Acquired haemophilia A with anti factor VIII | Acquired hemophilia B with anti factor IX | Acquired hemophilia A with anti factor VIII",10053745,acquired haemophilia
Factor I deficiency,"Afibrinogenemia | Deficiency factor I | Factor I deficiency | Afibrinogenaemia | Congenital hypofibrinogenaemia | Congenital hypofibrinogenemia | Afibrinogenemias | Congenital Afibrinogenemia | Afibrinogenemia, Congenital | Afibrinogenemias, Congenital | Congenital Afibrinogenemias | Familial Afibrinogenemia | Afibrinogenemia, Familial | Afibrinogenemias, Familial | Familial Afibrinogenemias | Congenital Afibrinogenaemia | Afibrinogenaemia, Congenital | Afibrinogenaemias, Congenital | Congenital Afibrinogenaemias | Hypofibrinogenemia, Congenital | Congenital Hypofibrinogenemia | Congenital Hypofibrinogenemias | Hypofibrinogenemias, Congenital | Deficiency, Fibrinogen | Fibrinogen Deficiencies | Fibrinogen Deficiency",10016075,factor i deficiency
Acquired Von Willebrand's disease,Acquired Von Willebrand's disease,10069495,acquired von willebrand's disease
Factor VIII deficiency,"Congenital factor VIII disorder | Factor VIII deficiency | Haemophilia A | Haemophilia A (Factor VIII) | Hemophilia A | Hemophilia A (Factor VIII) | Hemophilia As | Hemophilia, Classic | Hemophilia | Hemophilia A, Congenital | Congenital Hemophilia A | Congenital Hemophilia As | Hemophilia As, Congenital | Classic Hemophilia | Classic Hemophilias | Hemophilias, Classic | Haemophilia | Autosomal Hemophilia A | As, Autosomal Hemophilia | Autosomal Hemophilia As | Hemophilia A, Autosomal | Hemophilia As, Autosomal | Factor VIII Deficiency | Factor 8 Deficiency, Congenital | Factor VIII Deficiency, Congenital | Deficiency, Factor VIII",10016080,factor viii deficiency
Protein C deficiency,"Protein C deficiency | Protein C Deficiency | Hereditary Thrombophilia Due To Protein C Deficiency | Deficiency, Protein C | Deficiencies, Protein C | Protein C Deficiencies",10051298,protein c deficiency
Factor II deficiency,"Factor II deficiency | Prothrombin deficiency | Hypoprothrombinemias | Prothrombin Deficiency | Deficiencies, Prothrombin | Deficiency, Prothrombin | Prothrombin Deficiencies | Hypoprothrombinemia | Deficiency, Factor II | Deficiencies, Factor II | Factor II Deficiencies | Factor II Deficiency",10016076,factor ii deficiency
