txt_idx,txt_name,normalized_name,core_name,stemmed_core
650,abarelix,abarelix,abarelix,abarelix
100,acetylcysteine,acetylcysteine,acetylcysteine,acetylcysteine
757,aclidinium bromide,aclidinium bromide,aclidinium,aclidinium
56,afatinib,afatinib,afatinib,afatinib
540,albumin,albumin,albumin,albumin
572,aliskiren,aliskiren,aliskiren,aliskiren
342,ambrisentan,ambrisentan,ambrisentan,ambrisentan
450,amoxicillin,amoxicillin,amoxicillin,amoxicillin
420,amprenavir,amprenavir,amprenavir,amprenavir
663,apomorphine,apomorphine,apomorphine,apomorphine
348,apremilast,apremilast,apremilast,apremilast
417,argatroban,argatroban,argatroban,argatroban
84,armodafinil,armodafinil,armodafinil,armodafinil
110,arsenic trioxide,arsenic trioxide,arsenic trioxide,arsen triox
6,atorvastatin,atorvastatin,atorvastatin,atorvastatin
539,atovaquone,atovaquone,atovaquone,atovaquone
461,auranofin,auranofin,auranofin,auranofin
413,axitinib,axitinib,axitinib,axitinib
374,aztreonam,aztreonam,aztreonam,aztreonam
698,balsalazide,balsalazide,balsalazide,balsalaz
661,bazedoxifene,bazedoxifene,bazedoxifene,bazedoxifene
73,beclometasone,beclometasone,beclometasone,beclometasone
473,bedaquiline,bedaquiline,bedaquiline,bedaquiline
441,belinostat,belinostat,belinostat,belinostat
583,benazepril,benazepril,benazepril,benazepril
715,bendamustine,bendamustine,bendamustine,bendamustine
36,benzoyl peroxide,benzoyl peroxide,benzoyl peroxide,benzoyl perox
57,betaine,betaine,betaine,betaine
474,bivalirudin,bivalirudin,bivalirudin,bivalirudin
401,buserelin,buserelin,buserelin,buserelin
395,cabozantinib,cabozantinib,cabozantinib,cabozantinib
180,calcium folinate,calcium folinate,folinate,folin
229,capsaicin,capsaicin,capsaicin,capsaicin
549,carboplatin,carboplatin,carboplatin,carboplatin
23,cefixime,cefixime,cefixime,cefixime
528,cefprozil,cefprozil,cefprozil,cefprozil
480,ceftaroline fosamil,ceftaroline fosamil,ceftaroline fosamil,ceftaroline fosamil
227,ceftazidime,ceftazidime,ceftazidime,ceftazidime
288,ceftobiprole medocaril,ceftobiprole medocaril,ceftobiprole medocaril,ceftobiprole medocaril
43,chlormethine,chlormethine,chlormethine,chlormethine
106,chlortalidone,chlortalidone,chlortalidone,chlortalidone
390,ciclesonide,ciclesonide,ciclesonide,cicleson
758,ciclosporin,ciclosporin,ciclosporin,ciclosporin
48,clobetasol,clobetasol,clobetasol,clobetasol
733,clobetasone,clobetasone,clobetasone,clobetasone
746,clozapine,clozapine,clozapine,clozapine
307,cobicistat,cobicistat,cobicistat,cobicistat
144,colchicine,colchicine,colchicine,colchicine
124,colesevelam,colesevelam,colesevelam,colesevelam
148,colestilan,colestilan,colestilan,colestilan
134,colestyramine,colestyramine,colestyramine,colestyramine
121,corticotropin,corticotropin,corticotropin,corticotropin
481,crizotinib,crizotinib,crizotinib,crizotinib
