mapping_idx,drugbank_id,mapping_name,normalized_name,core_name,stemmed_core
669,DB02032,1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid,1- 3-mercapto-2-methyl-propionyl -pyrrolidine-2-carboxylic acid,1- 3-mercapto-2-methyl-propionyl -pyrrolidine-2-carboxylic acid,1- 3-mercapto-2-methyl-propionyl -pyrrolidine-2-carboxyl
187,DB03322,1-(Isopropylamino)-3-(1-Naphthyloxy)-2-Propanol,1- isopropylamino -3- 1-naphthyloxy -2-propanol,1- isopropylamino -3- 1-naphthyloxy -2-propanol,1- isopropylamino -3- 1-naphthyloxy -2-propanol
15,DB07701,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",1-benzyl-4- 5 6-dimethoxy-1-indanon-2-yl methyl piperidine,1-benzyl-4- 5 6-dimethoxy-1-indanon-2-yl methyl piperidine,1-benzyl-4- 5 6-dimethoxy-1-indanon-2-yl methyl piperidine
558,DB07768,"(10ALPHA,13ALPHA,14BETA,17ALPHA)-17-HYDROXYANDROST-4-EN-3-ONE",10alpha 13alpha 14beta 17alpha -17-hydroxyandrost-4-en-3-one,10alpha 13alpha 14beta 17alpha -17-hydroxyandrost-4-en-3-one,10alpha 13alpha 14beta 17alpha -17-hydroxyandrost-4-en-3-one
604,DB07886,"(11alpha,14beta)-11,17,21-trihydroxypregn-4-ene-3,20-dione",11alpha 14beta -11 17 21-trihydroxypregn-4-ene-3 20-dione,11alpha 14beta -11 17 21-trihydroxypregn-4-ene-3 20-dione,11alpha 14beta -11 17 21-trihydroxypregn-4-ene-3 20-dione
716,DB07702,"(16ALPHA,17ALPHA)-ESTRA-1,3,5(10)-TRIENE-3,16,17-TRIOL",16alpha 17alpha -estra-1 3 5 10 -triene-3 16 17-triol,16alpha 17alpha -estra-1 3 5 10 -triene-3 16 17-triol,16alpha 17alpha -estra-1 3 5 10 -triene-3 16 17-triol
556,DB08567,"(1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalen-1-amine",1s 4s -4- 3 4-dichlorophenyl -n-methyl-1 2 3 4-tetrahydronaphthalen-1-amine,1s 4s -4- 3 4-dichlorophenyl -n-methyl-1 2 3 4-tetrahydronaphthalen-1-amine,1s 4s -4- 3 4-dichlorophenyl -n-methyl-1 2 3 4-tetrahydronaphthalen-1-amine
117,DB03125,"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",2 4-diamino-5- 3 4 5-trimethoxy-benzyl -pyrimidin-1-ium,2 4-diamino-5- 3 4 5-trimethoxy-benzyl -pyrimidin-1-ium,2 4-diamino-5- 3 4 5-trimethoxy-benzyl -pyrimidin-1-ium
186,DB06987,2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,2- 4- 2-hydroxy-3- isopropylamino propoxy phenyl ethanamide,2- 4- 2-hydroxy-3- isopropylamino propoxy phenyl ethanamide,2- 4- 2-hydroxy-3- isopropylamino propoxy phenyl ethanam
267,DB08046,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,2-chloro-5- 1s -1-hydroxy-3-oxo-2h-isoindol-1-yl benzenesulfonamide,2-chloro-5- 1s -1-hydroxy-3-oxo-2h-isoindol-1-yl benzenesulfonamide,2-chloro-5- 1s -1-hydroxy-3-oxo-2h-isoindol-1-yl benzenesulfonam
651,DB04441,2-Fluoroadenosine,2-fluoroadenosine,2-fluoroadenosine,2-fluoroadenosine
240,DB07129,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",2r -1- 2 6-dimethylphenoxy propan-2-amine,2r -1- 2 6-dimethylphenoxy propan-2-amine,2r -1- 2 6-dimethylphenoxy propan-2-amine
155,DB02932,(2r)-N-[4-Cyano-3-(Trifluoromethyl)Phenyl]-3-[(4-Fluorophenyl)Sulfonyl]-2-Hydroxy-2-Methylpropanamide,2r -n- 4-cyano-3- trifluoromethyl phenyl -3- 4-fluorophenyl sulfonyl -2-hydroxy-2-methylpropanamide,2r -n- 4-cyano-3- trifluoromethyl phenyl -3- 4-fluorophenyl sulfonyl -2-hydroxy-2-methylpropanamide,2r -n- 4-cyano-3- trifluoromethyl phenyl -3- 4-fluorophenyl sulfonyl -2-hydroxy-2-methylpropanam
563,DB08298,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,2s -2- 6-methoxynaphthalen-2-yl propanoic acid,2s -2- 6-methoxynaphthalen-2-yl propanoic acid,2s -2- 6-methoxynaphthalen-2-yl propano
6,DB08472,(3R)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,3r -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine,3r -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine,3r -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine
5,DB08544,(3S)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,3s -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine,3s -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine,3s -n-methyl-3-phenyl-3- 4- trifluoromethyl phenoxy propan-1-amine
394,DB07191,"4-({6-AMINO-5-BROMO-2-[(4-CYANOPHENYL)AMINO]PYRIMIDIN-4-YL}OXY)-3,5-DIMETHYLBENZONITRILE",4- 6-amino-5-bromo-2- 4-cyanophenyl amino pyrimidin-4-yl oxy -3 5-dimethylbenzonitrile,4- 6-amino-5-bromo-2- 4-cyanophenyl amino pyrimidin-4-yl oxy -3 5-dimethylbenzonitrile,4- 6-amino-5-bromo-2- 4-cyanophenyl amino pyrimidin-4-yl oxy -3 5-dimethylbenzonitrile
103,DB08764,4-BROMO-2-FLUORO-N-[(4E)-6-METHOXY-7-[(1-METHYLPIPERIDIN-4-YL)METHOXY]QUINAZOLIN-4(1H)-YLIDENE]ANILINE,4-bromo-2-fluoro-n- 4e -6-methoxy-7- 1-methylpiperidin-4-yl methoxy quinazolin-4 1h -ylidene aniline,4-bromo-2-fluoro-n- 4e -6-methoxy-7- 1-methylpiperidin-4-yl methoxy quinazolin-4 1h -ylidene aniline,4-bromo-2-fluoro-n- 4e -6-methoxy-7- 1-methylpiperidin-4-yl methoxy quinazolin-4 1h -ylidene aniline
125,DB07467,"4-chloro-N-[(2S)-2-methyl-2,3-dihydro-1H-indol-1-yl]-3-sulfamoylbenzamide",4-chloro-n- 2s -2-methyl-2 3-dihydro-1h-indol-1-yl -3-sulfamoylbenzamide,4-chloro-n- 2s -2-methyl-2 3-dihydro-1h-indol-1-yl -3-sulfamoylbenzamide,4-chloro-n- 2s -2-methyl-2 3-dihydro-1h-indol-1-yl -3-sulfamoylbenzam
726,DB08477,"5-chloro-N-({(5S)-2-oxo-3-[4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl}methyl)thiophene-2-carboxamide",5-chloro-n- 5s -2-oxo-3- 4- 3-oxomorpholin-4-yl phenyl -1 3-oxazolidin-5-yl methyl thiophene-2-carboxamide,5-chloro-n- 5s -2-oxo-3- 4- 3-oxomorpholin-4-yl phenyl -1 3-oxazolidin-5-yl methyl thiophene-2-carboxamide,5-chloro-n- 5s -2-oxo-3- 4- 3-oxomorpholin-4-yl phenyl -1 3-oxazolidin-5-yl methyl thiophene-2-carboxam
402,DB03256,"5-Formyl-5,6,7,8-Tetrahydrofolate",5-formyl-5 6 7 8-tetrahydrofolate,5-formyl-5 6 7 8-tetrahydrofolate,5-formyl-5 6 7 8-tetrahydrofol
445,DB08607,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE",5r -5- 4- 2r -6-hydroxy-2 5 7 8-tetramethyl-3 4-dihydro-2h-chromen-2-yl methoxy benzyl -1 3-thiazolidine-2 4-dione,5r -5- 4- 2r -6-hydroxy-2 5 7 8-tetramethyl-3 4-dihydro-2h-chromen-2-yl methoxy benzyl -1 3-thiazolidine-2 4-dione,5r -5- 4- 2r -6-hydroxy-2 5 7 8-tetramethyl-3 4-dihydro-2h-chromen-2-yl methoxy benzyl -1 3-thiazolidine-2 4-dione
281,DB08734,"6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE",6 6-dimethyl-1- 3- 2 4 5-trichlorophenoxy propoxy -1 6-dihydro-1 3 5-triazine-2 4-diamine,6 6-dimethyl-1- 3- 2 4 5-trichlorophenoxy propoxy -1 6-dihydro-1 3 5-triazine-2 4-diamine,6 6-dimethyl-1- 3- 2 4 5-trichlorophenoxy propoxy -1 6-dihydro-1 3 5-triazine-2 4-diamine
361,DB02692,"(6r,1'r,2's)-5,6,7,8 Tetrahydrobiopterin",6r 1 r 2 s -5 6 7 8 tetrahydrobiopterin,6r 1 r 2 s -5 6 7 8 tetrahydrobiopterin,6r 1 r 2 s -5 6 7 8 tetrahydrobiopterin
359,DB03918,"6s-5,6,7,8-Tetrahydrobiopterin",6s-5 6 7 8-tetrahydrobiopterin,6s-5 6 7 8-tetrahydrobiopterin,6s-5 6 7 8-tetrahydrobiopterin
736,DB03528,9-Beta-D-Xylofuranosyl-Adenine,9-beta-d-xylofuranosyl-adenine,9-beta-d-xylofuranosyl-adenine,9-beta-d-xylofuranosyl-adenine
26,DB05488,99mTc-ciprofloxacin,99mtc-ciprofloxacin,99mtc-ciprofloxacin,99mtc-ciprofloxacin
395,DB00284,Acarbose,acarbose,acarbose,acarbose
194,DB00316,Acetaminophen,acetaminophen,acetaminophen,acetaminophen
369,DB03856,Alpha-Difluoromethylornithine,alpha-difluoromethylornithine,alpha-difluoromethylornithine,alpha-difluoromethylornithine
479,DB00132,Alpha-Linolenic Acid,alpha-linolenic acid,alpha-linolenic acid,alpha-linolen
422,DB00321,Amitriptyline,amitriptyline,amitriptyline,amitriptyline
331,DB00543,Amoxapine,amoxapine,amoxapine,amoxapine
717,DB05379,APL-202,apl-202,apl-202,apl-202
227,DB00407,Ardeparin,ardeparin,ardeparin,ardeparin
196,DB01274,Arformoterol,arformoterol,arformoterol,arformoterol
299,DB05340,ATL-2502,atl-2502,atl-2502,atl-2502
329,DB00572,Atropine,atropine,atropine,atropine
509,DB08822,Azilsartan medoxomil,azilsartan medoxomil,azilsartan medoxomil,azilsartan medoxomil
657,DB01053,Benzylpenicillin,benzylpenicillin,benzylpenicillin,benzylpenicillin
301,DB05229,Beraprost,beraprost,beraprost,beraprost
595,DB00443,Betamethasone,betamethasone,betamethasone,betamethasone
518,DB01019,Bethanechol,bethanechol,bethanechol,bethanechol
