drug_name,txt_idx,mapping_idx,delta
Abacavir,710,276,-434
Abiraterone,631,258,-373
Acamprosate,228,43,-185
Acebutolol,116,297,181
Aciclovir,449,168,-281
Acitretin,483,580,97
Adapalene,646,397,-249
Adefovir Dipivoxil,255,274,19
Adenosine,708,737,29
Agomelatine,85,458,373
Albendazole,211,332,121
Alfentanil,0,408,408
Alfuzosin,264,184,-80
Alitretinoin,713,548,-165
Allopurinol,263,199,-64
Almotriptan,83,71,-12
Alosetron,177,179,2
Alprazolam,436,48,-388
Alprostadil,130,630,500
Amantadine,563,111,-452
Amiloride,99,398,299
Aminolevulinic acid,620,401,-219
Aminophylline,13,352,339
Amiodarone,693,120,-573
Amisulpride,223,139,-84
Amlexanox,386,453,67
Amphotericin B,156,565,409
Amsacrine,339,439,100
Anagrelide,151,88,-63
Anastrozole,152,115,-37
Anidulafungin,706,170,-536
Apixaban,170,270,100
Apraclonidine,154,175,21
Aprepitant,132,260,128
Aripiprazole,103,132,29
Asenapine,216,707,491
Atazanavir,524,102,-422
Atenolol,667,185,-482
Atomoxetine,676,85,-591
Atracurium,482,380,-102
Avanafil,112,449,337
Azacitidine,613,600,-13
Azathioprine,11,354,343
Azelaic Acid,9,456,447
Azelastine,10,245,235
Azithromycin,351,621,270
Baclofen,428,74,-354
Bepridil,558,319,-239
Betahistine,493,344,-149
Betaxolol,492,100,-392
Bexarotene,283,56,-227
Bezafibrate,257,337,80
Bicalutamide,405,159,-246
Bimatoprost,656,720,64
Bisoprolol,221,149,-72
Bleomycin,504,748,244
Boceprevir,655,22,-633
Bortezomib,737,537,-200
Bosentan,113,189,76
Bosutinib,463,347,-116
Brimonidine,158,133,-25
Brinzolamide,353,138,-215
Bromazepam,12,207,195
Bromocriptine,135,655,520
Budesonide,529,601,72
Bumetanide,721,363,-358
Bupivacaine,720,307,-413
Buprenorphine,743,608,-135
Bupropion,588,25,-563
Buspirone,719,64,-655
Busulfan,724,124,-600
Butorphanol,188,693,505
Cabazitaxel,756,685,-71
Cabergoline,82,692,610
Caffeine,260,396,136
Calcitriol,541,747,206
Canagliflozin,162,420,258
Candesartan,377,295,-82
Capecitabine,554,60,-494
Carbamazepine,331,41,-290
Carfilzomib,161,231,70
Carmustine,431,98,-333
Carvedilol,495,63,-432
Caspofungin,423,581,158
Cefaclor,251,658,407
Cefepime,384,749,365
Ceftriaxone,383,728,345
Celecoxib,683,246,-437
Cerivastatin,361,712,351
Cetirizine,79,150,71
Cevimeline,232,551,319
Chlorambucil,270,447,177
Ciclopirox,515,424,-91
Cidofovir,740,222,-518
Cilazapril,322,660,338
Cilostazol,447,172,-275
Cimetidine,446,318,-128
Cinacalcet,354,237,-117
Ciprofloxacin,381,24,-357
Citalopram,336,7,-329
Cladribine,120,635,515
Clarithromycin,275,610,335
Clevidipine,659,440,-219
Clindamycin,641,654,13
Clobazam,728,195,-533
Clofarabine,752,101,-651
Clomifene,174,599,425
Clomipramine,690,9,-681
Clonazepam,688,238,-450
Clonidine,689,215,-474
Clopidogrel,573,598,25
Conivaptan,185,286,101
Conjugated Estrogens,745,305,-440
Cromoglicic acid,245,459,214
Cyclobenzaprine,305,208,-97
Cyclophosphamide,627,50,-577
Dabigatran etexilate,653,677,24
Dabrafenib,678,148,-530
Danazol,233,741,508
Dapagliflozin,490,427,-63
Dapsone,349,430,81
Darunavir,594,173,-421
Dasatinib,37,83,46
Daunorubicin,193,645,452
Decitabine,34,183,149
Deferoxamine,458,204,-254
Degarelix,638,411,-227
Delavirdine,39,455,416
Desflurane,625,129,-496
Desloratadine,323,277,-46
Desmopressin,433,418,-15
Desonide,416,390,-26
Desvenlafaxine,507,221,-286
Dexamethasone,409,596,187
Dexmedetomidine,432,320,-112
Dexmethylphenidate,206,37,-169
Dexrazoxane,734,752,18
Diazepam,235,475,240
Diclofenac,126,33,-93
Didanosine,184,263,79
Dihydroergotamine,279,705,426
Diltiazem,408,597,189
Dipyridamole,352,127,-225
Docetaxel,321,576,255
Dofetilide,510,350,-160
Dolasetron,276,670,394
Dolutegravir,76,437,361
Donepezil,635,16,-619
Doxazosin,636,86,-550
Doxepin,637,65,-572
Doxorubicin,669,541,-128
Dronedarone,35,348,313
Duloxetine,51,21,-30
Efavirenz,149,591,442
Eletriptan,466,32,-434
Emtricitabine,256,163,-93
Enalapril,138,622,484
Entacapone,89,525,436
Entecavir,371,268,-103
Enzalutamide,668,340,-328
Epirubicin,614,540,-74
Eplerenone,660,691,31
Epoprostenol,702,678,-24
Eprosartan,691,673,-18
Erlotinib,739,247,-492
Ertapenem,62,147,85
Escitalopram,397,8,-389
Esmolol,346,316,-30
Esomeprazole,543,52,-491
Estazolam,341,77,-264
Estradiol,475,550,75
Eszopiclone,551,588,37
Etonogestrel,404,333,-71
Etoposide,674,663,-11
Etravirine,77,393,316
Everolimus,67,42,-25
Exemestane,334,130,-204
Ezetimibe,422,223,-199
Famciclovir,88,143,55
Famotidine,622,702,80
Felbamate,173,114,-59
Fenofibrate,176,164,-12
Fentanyl,30,82,52
Fesoterodine,297,255,-42
Fexofenadine,27,239,212
Fingolimod,597,257,-340
Flecainide,80,293,213
Fluconazole,692,152,-540
Fludarabine,657,672,15
Flunisolide,192,695,503
Flunitrazepam,586,269,-317
Fluorescein,566,145,-421
Fluorouracil,585,407,-178
Fluoxetine,584,4,-580
Flutamide,705,450,-255
Fluticasone furoate,469,322,-147
Fluvastatin,363,656,293
Fluvoxamine,271,544,273
Formoterol,726,197,-529
Fosamprenavir,194,351,157
Foscarnet,619,454,-165
Fosfomycin,365,461,96
Fosinopril,557,584,27
Fosphenytoin,379,39,-340
