idx,drug_name,drug_text
0,Venlafaxine,"Venlafaxine is an antidepressant and a serotonin and norepinephrine reuptake inhibitor (SNRI). Its active metabolite, [desvenlafaxine], works by blocking the reuptake of serotonin and norepinephrine, which are key neurotransmitters in mood regulation. Venlafaxine is officially approved to treat major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder, and panic disorder in adults.[L43030] The immediate formulation of the drug, marketed as Effexor, was first approved by the FDA in 1993 and the extended-release formulation, Effexor XR, was later introduced in 1997.[A252065]

Venlafaxine has been used as a first-line treatment for MDD, GAD, social anxiety disorder, and panic disorder in Canada for many years. It was also considered a second-line treatment The exact mechanism of action of venlafaxine in the treatment of various psychiatric conditions has not been fully elucidated; however, it is understood that venlafaxine and its active metabolite O-desmethylvenlafaxine (ODV) potently and selectively inhibits the reuptake of both serotonin and norepinephrine at the presynaptic terminal.[A27600,A252065,L43030] This results in increased levels of neu"
1,Ropinirole,"Ropinirole, also known as _ReQuip_, is a non-ergoline dopamine agonist used in Parkinson's disease and restless legs syndrome [FDA label], [A174547]. It is manufactured by GlaxoSmithKline Pharmaceuticals.   Ropinirole was initially approved in 1997 by the FDA [FDA label] for the management of Parkinson's disease. In 2005, it was the first drug approved in the US for the management of primary moderate to severe restless legs syndrome [A174547].

 In 2008, the extended-release capsules of ropinirole were approved, allowing for less frequent dosing, therefore increased compliance, and offering a similar side effect profile and efficacy to previous formulations of ropinirole [A35711]. Ropinirole is a non-ergoline dopamine agonist. Ropinirole has the highest affinity at the D3 receptors, which are concentrated in the limbic areas of the brain and may be responsible for some of the neuropsychiatric effects [A35711]. The exact mechanism of action of ropinirole as a treatment for Parkinson’s disease is unknown, however, it is believed to be related to its ability to selectively sti"
2,Risperidone,"Risperidone is a second-generation antipsychotic (SGA) medication used in the treatment of a number of mood and mental health conditions including schizophrenia and bipolar disorder.[L12885] It is one of the most widely used SGAs. [Paliperidone], another commonly used SGA, is the primary active metabolite of risperidone (i.e. 9-hydroxyrisperidone).[L12885]

Schizophrenia and various mood disorders are thought to be caused by an excess of dopaminergic D2 and serotonergic 5-HT2A activity, resulting in overactivity of central mesolimbic pathways and mesocortical pathways, respectively. Risperidone is thought to reduce this overactivity through inhibition of dopaminergic D2 receptors and serotonergic 5-HT2A receptors in the brain.[L12885]

Risperidone binds with a very high affinity to 5-H Though its precise mechanism of action is not fully understood, current focus is on the ability of risperidone to inhibit the D2 dopaminergic receptors and 5-HT2A serotonergic receptors in the brain. Schizophrenia is thought to result from an excess of dopaminergic D2 and serotonergic 5-HT2A activity, resulting in overactivity of central mesolimbic pathways and mesocortical pathways, respectively."
3,Gabapentin,"Gabapentin is a structural analogue of the inhibitory neurotransmitter gamma-aminobutyric acid ([GABA]) that was first approved for use in the United States in 1993.[L8717] It was originally developed as a novel anti-epileptic for the treatment of certain types of seizures[A186277,A186143] - today it is also widely used to treat neuropathic pain.[A14097,A186179] Gabapentin has some stark advantages as compared with other anti-epileptics, such as a relatively benign adverse effect profile, wide therapeutic index, and lack of appreciable metabolism making it unlikely to participate in pharmacokinetic drug interactions.[A186143,A185981,L8717]. It is structurally and functionally related to another GABA derivative, [pregabalin]. The precise mechanism through which gabapentin exerts its therapeutic effects is unclear.[L8717,L8720] The primary mode of action appears to be at the auxillary α2δ-1 subunit of voltage-gated calcium channels (though a low affinity for the α2δ-2 subunit has also been reported).[A186179,A14097,A186277] The major function of these subunits is to facilitate the movement of pore-forming α1 subunits of"
4,Fluoxetine,"Fluoxetine is a 2nd generation antidepressant categorized as a selective serotonin reuptake inhibitor (SSRI).[A181673] It gained FDA approval in 1987 and although it was initially intended for the treatment of depression, today it is commonly prescribed to manage depression in addition to various other pathologies.[L7721] The monoaminergic hypothesis of depression emerged in 1965 and linked depression with dysfunction of neurotransmitters such as noradrenaline and serotonin.[L7721] Indeed, low levels of serotonin have been observed in the cerebrospinal fluid of patients diagnosed with depression.[A181793] As a result of this hypothesis, drugs that modulate levels of serotonin such as fluoxetine were developed.[L772"
5,(3S)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,An N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine that has S configuration (the antidepressant drug fluoxetine is a racemate comprising equimolar amounts of (R)- and (S)-fluoxetine).
6,(3R)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine,An N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine that has R configuration (the antidepressant drug fluoxetine is a racemate comprising equimolar amounts of (R)- and (S)-fluoxetine).
7,Citalopram,"Citalopram is an antidepressant belonging to the class of selective _serotonin-reuptake inhibitors_ (SSRIs) widely used to treat the symptoms of depression. It is a racemic bicyclic phthalate derivate and is the only compound with a tertiary amine and 2 nitrogen-containing metabolites among all SSRIs.[A261316,A14720] Citalopram enhances serotonergic transmission through the inhibition of serotonin reuptake, and among all the SSRIs, citalopram appears to be the most selective toward serotonin reuptake inhibition.[A261316,A14720] Specifically, it has a very minimal effect on dopamine and norepinephrine transportation and virtually no affinity for muscarinic, histaminergic, or GABAergic receptors.[A261316]

Citalopram was approved by the FDA in 1998 for the treatment of depression in adults The mechanism of action of citalopram is unclear but is presumed to be related to potentiation of serotonergic activity in the central nervous system (CNS) resulting from its inhibition of CNS neuronal reuptake of serotonin (5-HT), potentially through the inhibition of the serotonin transporter (solute carrier family 6 member 4, _SLC6A4_).[L47941,A37688] 

Citalopram binds with significantly les"
8,Escitalopram,"Escitalopram is a selective serotonin re-uptake inhibitor (SSRI) and the S-enantiomer of racemic [citalopram].[A185420] It is used to restore serotonergic function in the treatment of depression and anxiety.[L8513,L8516,L8522] Escitalopram is approximately 150 times more potent than citalopram’s R-enantiomer and is responsible for the vast majority of citalopram’s clinical activity, with some evidence suggesting that the R-enantiomer of racemic citalopram actively dampens the activity of escitalopram rather than existing simply as an inactive enantiomer.[A39738,A185819] Amongst SSRIs, escitalopram exerts the highest degree of selectivity for the serotonin transporter (SERT) relative to other off-targets which may explain its lower rates of adverse effects as compared to other agents in thi Escitalopram, like other selective serotonin re-uptake inhibitors, enhances serotonergic activity by binding to the orthosteric (i.e. primary) binding site on the serotonin transporter (SERT), the same site to which endogenous 5-HT binds, and thus prevents the re-uptake of serotonin into the presynaptic neuron.[A185420,A39738,A185726] Escitalopram, along with [paroxetine], is also considered an al"
9,Clomipramine,"Clomipramine, the 3-chloro analog of imipramine, is a dibenzazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, clomipramine does not affect mood or arousal, but may cause sedation. In depressed individuals, clomipramine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. Tertiary amine TCAs, such as clomipramine, are more potent inhibitors of serotonin reuptake than secondary amine TCAs, such as nortriptyline and desipramine. TCAs also down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidep Clomipramine is a strong, but not completely selective serotonin reuptake inhibitor (SRI), as the active main metabolite desmethyclomipramine acts preferably as an inhibitor of noradrenaline reuptake. &alpha;<sub>1</sub>-receptor blockage and &beta;-down-regulation have been noted and most likely play a role in the short term effects of clomipramine. A blockade of sodium-channels and NDMA-receptor"
10,Lamotrigine,"Lamotrigine is an antiepileptic drug belonging in the phenyltriazine class. It is used in the treatment of both epilepsy and as a mood stabilizer in bipolar disorder. Lamotrigine is the first medication since lithium granted Food and Drug Administration (FDA) approval for the maintenance treatment of bipolar type I. It is approved for use in more than 30 countries.[A191350]

Lamotrigine has relatively few side-effects and does not require laboratory monitoring. While it is indicated for epilepsy and bipolar disorders, there is evidence that lamotrigine could have some clinical efficacy in certain neuropathic pain states.[A849,A850] The exact mechanism of action of lamotrigine is not fully elucidated, as it may exert cellular activities that contribute to its efficacy in a range of conditions. Although chemically unrelated, lamotrigine actions resemble those of phenytoin and carbamazepine, inhibiting voltage-sensitive sodium channels, stabilizing neuronal membranes, thereby modulating the release of presynaptic excitatory neu"
11,Imatinib,"Imatinib is a small molecule kinase inhibitor that revolutionized the treatment of cancer, particularly chronic myeloid leukemia, in 2001.[A249305] It was deemed a ""miracle drug"" due to its clinical success, as oncologist Dr. Brian noted that ""complete hematologic responses were observed in 53 of 54 patients with CML treated with a daily dosage of 300 mg or more and typically occurred in the first four weeks of therapy"".[A249315]. The discovery of imatinib also established a new group of therapy called ""targeted therapy"", since treatment can be tailored specifically to the unique cancer genetics of each patient.[L42220] 

Imatinib was approved on February 1st ,2001 by the FDA and November 7th, 2001 by the EMA; however, its European approval has been withdrawn in October 2023.[A263036,L49 Imatinib mesylate is a protein-tyrosine kinase inhibitor that inhibits the BCR-ABL tyrosine kinase, the constitutively active tyrosine kinase created by the Philadelphia chromosome abnormality in CML.[L42080]Although the function of normal BCR is still unclear, ABL activation is overexpressed in various tumors and is heavily implicated in cancer cells growth and survival.[A249305,A249310] Imatinib"
