idx,drugbank_id,drug_name,benchmark_idx,matched_name,resolution_status,evidence
0,DB00001,lepirudin,289,Lepirudin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
1,DB00006,bivalirudin,474,Bivalirudin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
2,DB00007,leuprorelin,555,Leuprolide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
3,DB00014,goserelin,355,Goserelin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
4,DB00016,erythropoietin,109,Erythropoietin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
5,DB00082,pegvisomant,521,Pegvisomant,resolved_by_frequency_matrix,Exact row match after SE-column alignment
6,DB00035,desmopressin,433,Desmopressin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
7,DB00046,insulin lispro,325,Insulin lispro,resolved_by_frequency_matrix,Exact row match after SE-column alignment
8,DB00047,insulin glargine,38,Insulin glargine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
9,DB00049,rasburicase,29,Rasburicase,resolved_by_frequency_matrix,Exact row match after SE-column alignment
10,DB00062,albumin,540,Albumin human,resolved_by_frequency_matrix,Exact row match after SE-column alignment
11,DB00063,eptifibatide,61,Eptifibatide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
12,DB00075,muromonab-CD3,464,Muromonab,resolved_by_frequency_matrix,Exact row match after SE-column alignment
13,DB00080,daptomycin,454,Daptomycin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
14,DB00091,ciclosporin,758,Cyclosporine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
15,DB00094,urofollitropin,508,Urofollitropin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
16,DB00104,octreotide,26,Octreotide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
17,DB00105,interferon alfa-2b,299,Interferon alfa-2b,resolved_by_frequency_matrix,Exact row match after SE-column alignment
18,DB00106,abarelix,650,Abarelix,resolved_by_frequency_matrix,Exact row match after SE-column alignment
19,DB00107,oxytocin,589,Oxytocin,resolved_by_frequency_matrix,Exact row match after SE-column alignment
20,DB00109,enfuvirtide,186,Enfuvirtide,resolved_by_frequency_matrix,Exact row match after SE-column alignment
21,DB00130,glutamine,426,L-Glutamine,resolved_by_frequency_matrix,Exact row match after SE-column alignment
