idx,umls_cui,se_name,benchmark_idx,resolution_status,evidence
0,C0232487,abdominal discomfort,650,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
1,C0000731,abdominal distension,361,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
2,C0000737,abdominal pain,886,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
3,C0232495,abdominal pain lower,52,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
4,C0232492,abdominal pain upper,571,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
5,C0233514,abnormal behaviour,833,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
6,C0234458,abnormal dreams,235,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
7,C0162287,abnormal faeces,492,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
8,C0000833,abscess,187,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
9,C0152198,accommodation disorder,742,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
10,C0001122,acidosis,277,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
11,C0702166,acne,767,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
12,C0022602,actinic keratosis,148,resolved_by_auxiliary_semantic_features,Nearest semantic/glove neighbors include lichenoid keratosis and hyperkeratosis; paired complement to seborrhoeic keratosis row 823.
13,C0948089,acute coronary syndrome,813,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
14,C0155626,acute myocardial infarction,692,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
15,C0035222,acute respiratory distress syndrome,976,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
16,C0001623,adrenal insufficiency,306,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
17,C0233472,affect lability,652,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
18,C0525045,affective disorder,285,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
19,C2364111,ageusia,540,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
20,C0001807,aggression,2,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
21,C0085631,agitation,659,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
22,C0001824,agranulocytosis,418,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
23,C0392156,akathisia,900,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
24,C0085623,akinesia,614,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
25,C0151905,alanine aminotransferase increased,371,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
26,C0001925,albuminuria,455,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
27,C0151474,alcohol intolerance,882,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
28,C0002170,alopecia,842,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
29,C0150450,altered state of consciousness,672,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
30,C0002390,alveolitis allergic,74,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
31,C0002418,amblyopia,454,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
32,C0002453,amenorrhoea,872,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
33,C0002622,amnesia,645,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
34,C0151479,amylase increased,529,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
35,C0002871,anaemia,841,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
36,C0002886,anaemia macrocytic,215,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
37,C0002888,anaemia megaloblastic,670,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
38,C0033775,anal pruritus,388,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
39,C0002792,anaphylactic shock,594,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
40,C0340865,anaphylactoid reaction,333,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
41,C0002940,aneurysm,484,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
42,C0002957,anger,356,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
43,C0002962,angina pectoris,782,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
44,C0002994,angioedema,888,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
45,C0042373,angiopathy,609,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
46,C0017605,angle closure glaucoma,156,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
47,C2242737,anorectal discomfort,898,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
48,C0687707,anorectal disorder,54,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
49,C0234022,anorgasmia,914,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
50,C0233523,antisocial behaviour,768,resolved_by_auxiliary_semantic_features,Glove nearest neighbor is abnormal behaviour; semantic neighbors include aggression and hostility.
51,C0003431,antisocial personality disorder,495,resolved_by_auxiliary_semantic_features,Glove nearest neighbor is personality disorder.
52,C0003460,anuria,109,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
53,C0003467,anxiety,116,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
54,C0085632,apathy,498,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
55,C0003537,aphasia,567,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
56,C0034902,aplasia pure red cell,386,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
57,C0002874,aplastic anaemia,240,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
58,C0003578,apnoea,588,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
59,C0003615,appendicitis,256,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
60,C0877661,application site burn,402,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
61,C0877098,application site dryness,570,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
62,C0853700,application site erythema,654,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
63,C0521490,application site irritation,127,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
64,C0521491,application site pain,452,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
65,C0877096,application site paraesthesia,194,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
66,C0853714,application site pruritus,752,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
67,C0521495,application site rash,316,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
68,C0151505,application site reaction,547,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
69,C0877097,application site vesicles,807,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
70,C0003635,apraxia,221,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
71,C0003811,arrhythmia,608,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
72,C0428974,arrhythmia supraventricular,804,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
73,C0003850,arteriosclerosis,937,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
74,C0003862,arthralgia,803,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
75,C0003864,arthritis,55,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
76,C0022408,arthropathy,394,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
77,C0003962,ascites,49,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
78,C0233528,asocial behaviour,879,resolved_by_auxiliary_semantic_features,Behavioral semantic/glove neighborhood; paired complement after assigning antisocial behaviour and antisocial personality disorder.
79,C0151904,aspartate aminotransferase increased,966,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
80,C0004093,asthenia,22,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
81,C0004095,asthenopia,154,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
82,C0004096,asthma,634,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
83,C0004134,ataxia,928,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
84,C0004144,atelectasis,565,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
85,C0004238,atrial fibrillation,295,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
86,C0004239,atrial flutter,600,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
87,C0004245,atrioventricular block,718,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
88,C0151517,atrioventricular block complete,16,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
89,C0085614,atrioventricular block first degree,468,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
90,C0262385,autonomic nervous system imbalance,626,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
91,C0242528,azotaemia,794,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
92,C0004604,back pain,729,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
93,C0004610,bacteraemia,93,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
94,C0004623,bacterial infection,946,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
95,C0575090,balance disorder,174,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
96,C0007117,basal cell carcinoma,75,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
97,C0004998,benign neoplasm of skin,343,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
98,C0151824,biliary colic,617,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
99,C0005586,bipolar disorder,18,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
100,C0853193,bipolar i disorder,658,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
101,C0005684,bladder cancer,432,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
102,C0232849,bladder pain,890,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
103,C0151529,bleeding time prolonged,761,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
104,C0005741,blepharitis,903,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
105,C0005747,blepharospasm,406,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
106,C0456909,blindness,238,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
107,C0005758,blister,576,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
108,C0853777,blood albumin decreased,951,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
109,C0852911,blood alkaline phosphatase increased,478,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
110,C0311468,blood bilirubin increased,9,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
111,C3665624,blood calcium decreased,178,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
112,C0595930,blood cholesterol increased,393,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
113,C0853034,blood creatine phosphokinase increased,157,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
114,C0235431,blood creatinine increased,170,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
115,C0018939,blood disorder,413,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
116,C0595883,blood glucose decreased,315,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
117,C0595877,blood glucose increased,496,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
118,C0853149,blood lactate dehydrogenase increased,10,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
119,C0877517,blood phosphorus decreased,533,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
120,C0853761,blood potassium decreased,828,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
121,C0853760,blood potassium increased,219,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
122,C0497247,blood pressure increased,894,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
123,C0854082,blood prolactin increased,764,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
124,C0853692,blood triglycerides increased,521,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
125,C0151539,blood urea increased,936,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
126,C0235416,blood uric acid increased,351,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
127,C0947999,blood urine present,644,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
128,C0020672,body temperature decreased,124,resolved_by_auxiliary_semantic_features,Glove nearest neighbor is body temperature increased; semantic neighbors include body temperature increased and weight decreased.
129,C0015967,body temperature increased,618,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
130,C0005940,bone disorder,735,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
131,C0151825,bone pain,809,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
132,C0428977,bradycardia,556,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
133,C0233565,bradykinesia,139,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
134,C1527311,brain oedema,210,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
135,C0006142,breast cancer,476,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
136,C0149741,breast discharge,628,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
137,C0006145,breast disorder,328,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
138,C0085688,breast engorgement,357,resolved_by_frequency_matrix,Exact column match after resolved drug alignment
