idx,se_name,se_text,benchmark_idx
0,abdominal discomfort,"Abdominal discomfort. Also known as: Abdo. discomfort, Abdomen burning sensation of, Abdominal discomfort",650
1,abdominal distension,"Abdominal distension. Also known as: Abdo. bloating, Abdomen enlarged, Abdomen enlarged feeling of",361
2,abdominal pain,"Abdominal pain. Also known as: Abd. pain, Abdo pain, Abdominal colic",886
3,abdominal pain lower,"Abdominal pain lower. Also known as: Abdominal pain lower, Cramp in lower abdomen, Hypogastric pain",52
4,abdominal pain upper,"Abdominal pain upper. Also known as: Abdominal pain peptic ulcer type, Abdominal pain upper, Ache stomach",571
5,abnormal behaviour,"Abnormal behaviour. Also known as: Abnormal behaviour NOS, Behavior abnormal, Behaviour abnormal",833
6,abnormal dreams,"Abnormal dreams. Also known as: Abnormal dreams, Bizarre dreams, Dream delirium",235
7,abnormal faeces,"Abnormal faeces. Also known as: Abnormal faeces, Abnormal feces, Abnormal stools",492
8,abscess,"Abscess. Also known as: Abscess, Abscess NOS, Haematapostema",187
9,accommodation disorder,"Accommodation disorder. Also known as: Abnormality of accommodation, Accommodation abnormal, Accommodation debility",742
10,acidosis,"Acidosis. Also known as: Acidosis, Acidosis NOS, Acidemia",277
11,acne,"Acne. Also known as: Acne, Acne aggravated, Acne comedonal",767
12,actinic keratosis,"Actinic keratosis. Also known as: Actinic keratosis, Senile keratosis, Solar keratosis",148
13,acute coronary syndrome,"Acute coronary syndrome. Also known as: Attack coronary, Acute coronary syndrome, Non ST segment elevation acute coronary syndrome",813
14,acute myocardial infarction,"Acute myocardial infarction. Also known as: Acute myocardial infarction, Acute myocardial infarction, of anterolateral wall, Acute myocardial infarction, of anterolateral wall, episode of care unspecified",692
15,acute respiratory distress syndrome,"Acute respiratory distress syndrome. Also known as: A.R.D.S., Acute respiratory distress syndrome, Adult RDS",976
16,adrenal insufficiency,"Adrenal insufficiency. Also known as: Adrenal cortex hypofunction, Adrenal cortex insufficiency, Adrenal cortex insuffiency",306
17,affect lability,"Affect lability. Also known as: Emotional instability, Emotional lability, Instability emotional",652
18,affective disorder,"Affective disorder. Also known as: Affecive disorder NOS, Affective disorder, Affective disorder NOS",285
19,ageusia,"Ageusia. Also known as: Ageusia, Loss of taste, Taste absent",540
20,aggression,"Aggression. Also known as: Aggression, Aggression aggravated, Aggressive behaviour",2
21,agitation,"Agitation. Also known as: Agitated, Agitation, Agitation aggravated",659
22,agranulocytosis,"Agranulocytosis. Also known as: Agranulocytic angina, Agranulocytosis, Angina agranulocytic",418
23,akathisia,"Akathisia. Also known as: Acathesia, Akathisia, Motor restlessness",900
24,akinesia,Akinesia. Also known as: Akinesia,614
25,alanine aminotransferase increased,"Alanine aminotransferase increased. Also known as: Alanine aminotransferase increase, Alanine aminotransferase increased, ALT increased",371
26,albuminuria,"Albuminuria. Also known as: Albuminuria, Albuminurias",455
27,alcohol intolerance,"Alcohol intolerance. Also known as: Alcohol intolerance, Alcohol tolerance lowered, Disulfiram like reaction",882
28,alopecia,"Alopecia. Also known as: Accelerated hair loss, Alopecia, Alopecia reversible",842
29,altered state of consciousness,"Altered state of consciousness. Also known as: Altered state of consciousness, Consciousness abnormal, Consciousness disturbance transient",672
30,alveolitis allergic,alveolitis allergic,74
31,amblyopia,"Amblyopia. Also known as: Amblyopia, Amblyopia ex anopsia, Amblyopia NOS",454
32,amenorrhoea,"Amenorrhoea. Also known as: Absence of menstruation, Amenorrhea, Amenorrhoea",872
33,amnesia,"Amnesia. Also known as: Amnesia, Amnesia NEC, Amnesia transient",645
34,amylase increased,"Amylase increased. Also known as: Amylase high, Amylase increased, Amylase serum increased",529
35,anaemia,"Anaemia. Also known as: Anaemia, Anaemia aggravated, Anaemia NOS",841
