idx,se_name,se_text
0,Nausea,"Nausea. Also known as: Churning of stomach, Feeling queasy, Nausea"
1,Headache,"Headache. Also known as: Cephalalgia, Cephalalgia or cephalgia, Cephalgia"
2,Dizziness,"Dizziness. Also known as: Dizziness, Dizziness (excl vertigo), Dizziness and giddiness"
3,Vomiting,"Vomiting. Also known as: Bilious vomiting, Emesis, Habit vomiting"
4,Diarrhoea,"Diarrhoea. Also known as: Acute diarrhea, Antibiotic-associated diarrhea, Diarrhea"
5,Dermatitis,"Dermatitis. Also known as: Acrodermatitis, Dermatitic reaction of face, Dermatitic reaction of neck"
6,Pruritus,"Pruritus. Also known as: Extremities itchy sensation of, General pruritus, Generalised itching"
7,Abdominal pain,"Abdominal pain. Also known as: Abd. pain, Abdo pain, Abdominal colic"
8,Asthenia,"Asthenia. Also known as: Adynamia, Asthenia, Collapse of legs"
9,Asthenia,"Asthenia. Also known as: Adynamia, Asthenia, Collapse of legs"
10,Constipation,"Constipation. Also known as: Constipation, Constipation (excl faecal impaction), Iatrogenic constipation"
11,Hypersensitivity,"Hypersensitivity. Also known as: Acute allergic reaction, Allergic reaction, Allergic reaction NOS"
12,Dyspnoea,"Dyspnoea. Also known as: Air hunger, Breath shortness, Breathing difficult"
13,Body temperature increased,"Body temperature increased. Also known as: Body temperature increased, Temperature elevation"
14,Urticaria,"Urticaria. Also known as: Acute allergic urticaria, Acute urticaria, Allergic urticaria"
15,Insomnia,"Insomnia. Also known as: Difficulty sleeping, Insomnia, Insomnia (non-organic)"
16,Dyspepsia,"Dyspepsia. Also known as: Acid dyspepsia, Acid indigestion, Difficult digestion"
17,Dry mouth,"Dry mouth. Also known as: Dry mouth, Dryness oral, Mouth became dry"
18,Paraesthesia,"Paraesthesia. Also known as: Abnormal touch sensation, Acroparaesthesia, Disturbance of skin sensation"
19,Hypertension,"Hypertension. Also known as: Blood pressure high, Blood pressure increased refractory, HBP"
20,Hypotension,"Hypotension. Also known as: Blood pressure low, Chronic hypotension, Hypotension"
21,Thrombocytopenia,"Thrombocytopenia. Also known as: Primary thrombocytopenia, Secondary thrombocytopenia, Thrombocytopaenia"
22,Tachycardia,"Tachycardia. Also known as: Tachycardia, Tachycardia (excl paroxysmal), Tachycardia nervous"
23,Oedema,"Oedema. Also known as: Edema, Edema (NOS), Edema NOS"
24,Arthralgia,"Arthralgia. Also known as: Ache wrists, Aching (l) knee, Aching (r) knee"
25,Pain,"Pain. Also known as: Ache, Ache NOS, Burn lesion pain transient aggravation of"
26,Myalgia,"Myalgia. Also known as: Generalised muscle aches, Muscle ache, Muscle pain"
27,Chest pain,"Chest pain. Also known as: Ache across chest, Chest ache, Chest aching"
28,Back pain,"Back pain. Also known as: Acute back pain, Back ache, Back distress"
29,Cough,"Cough. Also known as: Cough, Cough increased, Cough nonproductive"
30,Somnolence,"Somnolence. Also known as: Daytime sleepiness, Drowsiness, Drowsy on awakening"
31,Anaemia,"Anaemia. Also known as: Anaemia, Anaemia aggravated, Anaemia NOS"
32,Tremor,"Tremor. Also known as: Essential and other specified forms of tremor, Parkinsonian-like tremor, Shakiness"
33,Angioedema,"Angioedema. Also known as: Acute angio oedema, Angio-edema, Angio-oedema"
34,Convulsion,Convulsion
35,Feeling abnormal,"Feeling abnormal. Also known as: Cotton wool in head, Feeling abnormal, Feeling bad"
36,Anaphylactic shock,"Anaphylactic shock. Also known as: Anaphylactic shock, Anaphylactic shock due to adverse food reaction, Anaphylactic shock due to crustaceans"
37,Palpitations,"Palpitations. Also known as: Heart pounding, Heart throbbing, Palpitation"
38,Leukopenia,"Leukopenia. Also known as: Leucopenia, Leukopenia NOS, Leukopenia"
39,Infection,"Infection. Also known as: Infect and parasitic cond in the mother classifiable elsewhere, but compg preg, c/birth or puerp, Infect and parasitic conds in the mother class elsewhere, but comp preg, c/birth, or the puerp, Infection"
40,Anxiety,"Anxiety. Also known as: Alarm (not alarm reaction), Angor animi, Anguish"
41,Decreased appetite,"Decreased appetite. Also known as: Anorexia, Anorexic, Appetite absent"
42,Vertigo,"Vertigo. Also known as: Head revolving around, Head revolving round, Head spinning"
43,Shock,"Shock. Also known as: Clinically shocked, Other shock without mention of trauma, Postoperative shock, not elsewhere classified"
44,Alopecia,"Alopecia. Also known as: Accelerated hair loss, Alopecia, Alopecia reversible"
45,Vision blurred,"Vision blurred. Also known as: Blurred vision, Blurring of eyes, Blurring of vision"
46,Dysgeusia,"Dysgeusia. Also known as: After taste, Bad taste, Dysgensia"
47,Gastrointestinal disorder,"Gastrointestinal disorder. Also known as: Disorder gastrointestinal, Disorders of function of stomach, Functional digestive disorders, not elsewhere classified"
48,Agitation,"Agitation. Also known as: Agitated, Agitation, Agitation aggravated"
49,Pharyngitis,"Pharyngitis. Also known as: Acute pharyngitis, Chronic pharyngitis, Chronic pharyngitis and nasopharyngitis"
50,Nervous system disorder,"Nervous system disorder. Also known as: Central nervous system disorder, Central nervous system disorder NOS, Cerebellar hemisphere disorder"
51,Skin disorder,"Skin disorder. Also known as: Disorder skin (NOS), Other disorders of skin and subcutaneous tissue, Other specified conditions involving the integument of fetus and newborn"
52,Upper respiratory tract infection,"Upper respiratory tract infection. Also known as: Acute upper respiratory infection of multiple or unspecified sites, Acute upper respiratory infections of multiple or unspecified sites, Acute upper respiratory infections of other multiple sites"
53,Feeling abnormal,"Feeling abnormal. Also known as: Cotton wool in head, Feeling abnormal, Feeling bad"
54,Oedema peripheral,"Oedema peripheral. Also known as: Ankle edema, Ankle oedema, Edema arms"
55,Bradycardia,"Bradycardia. Also known as: Bradycardia, Bradycardia NOS, Bradycardia NOS (excl fetal)"
56,Flatulence,"Flatulence. Also known as: Abdominal wind, Air in intestines, Air in stomach"
57,Sinusitis,"Sinusitis. Also known as: Sinus infection, Sinusitis, Sinusitis NOS"
58,Rhinitis,"Rhinitis. Also known as: Chronic nonspecific rhinitis, Chronic rhinitis, Chronic rhinitis (excl allergic)"
59,Hallucination,"Hallucination. Also known as: Drug-induced hallucinosis, Hallucinating, Hallucination"
60,Arrhythmia,"Arrhythmia. Also known as: Arrhythmia, Arrhythmia (NOS), Arrhythmia cardiac (NOS)"
61,Nervousness,"Nervousness. Also known as: Jumpiness, Jumpy, Nervous"
62,Stevens-Johnson syndrome,"Stevens-Johnson syndrome. Also known as: Stevens Johnson reaction, Stevens Johnson syndrome, Stevens Johnson type reaction"
63,Urinary tract infection,"Urinary tract infection. Also known as: Chronic UTI, Infection urinary tract, Lower urinary tract infection"
64,Hepatitis,"Hepatitis. Also known as: Hepatitis, Hepatitis in other infectious diseases classified elsewhere, Hepatitis nonicteric"
65,Depression,"Depression. Also known as: Anxiety depression, Anxious depression, Atypical depressive disorder"
66,Flushing,"Flushing. Also known as: Facial flushing, Flushed, Flushed chest"
67,Conjunctivitis,"Conjunctivitis. Also known as: Acute conjunctivitis, Acute conjunctivitis, unspecified, Acute follicular conjunctivitis"
68,Erectile dysfunction,"Erectile dysfunction. Also known as: Erectile disturbance, Erection decreased, Erection failure"
69,Hyperglycaemia,"Hyperglycaemia. Also known as: Drug-induced hyperglycaemia, Hyperglycaemia, Hyperglycaemia drug-induced"
70,Tinnitus,"Tinnitus. Also known as: Aggravated ringing in ears, Ear buzzing, Ear cracking"
71,Influenza,"Influenza. Also known as: Flu, Flu syndrome, Influenza"
72,Erythema,"Erythema. Also known as: Erythema, Erythema auricular, Erythema circumocular-blepharal"
73,Haematuria,"Haematuria. Also known as: Frank haematuria, Haematuria, Haematuria microscopic"
74,Weight decreased,"Weight decreased. Also known as: Losing wt, Loss of weight, Lost weight"
75,Pneumonia,"Pneumonia. Also known as: Bronchial pneumonia, Bronchopneumonia, Bronchopneumonia NOS"
76,Neutropenia,"Neutropenia. Also known as: Neutropenia, Neutropenia aggravated, Chronic neutropenia"
77,Epistaxis,"Epistaxis. Also known as: Bleeding nose, Epistaxis, Haemorrhage nasal"
78,Hypoaesthesia,"Hypoaesthesia. Also known as: Body numbness, Hypalgesia, Hypesthesia"
79,Alanine aminotransferase increased,"Alanine aminotransferase increased. Also known as: Alanine aminotransferase increase, Alanine aminotransferase increased, ALT increased"
80,Pancreatitis,"Pancreatitis. Also known as: Pancreatitis, Pancreatitis NOS, Pancreatitis steroid-induced"
81,Bronchitis,"Bronchitis. Also known as: Acute bronchitis, Acute bronchitis and bronchiolitis, Acute exacerbation of chronic bronchitis"
82,Atrial fibrillation,"Atrial fibrillation. Also known as: AF, AFib, Alcoholic atrial fibrillation"
83,Chills,"Chills. Also known as: Chills, Rigor, Rigoring"
84,Agranulocytosis,"Agranulocytosis. Also known as: Agranulocytic angina, Agranulocytosis, Angina agranulocytic"
